STATE,STATE NAME,DATE,RHAV,RHMN,RHMX,RHRR,TAVG,TMIN,TMAX,TRR,STPOP,STLA,POPPCT,POPDEN,CRD,,
AL,Alabama,2010-01,67.71,44.86,87.71,0.63,40.39,30.32,50.49,0.50,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-02,65.86,44.29,88.14,0.67,41.10,31.12,51.09,0.49,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-03,66.86,42.57,89.86,0.71,51.97,40.99,62.99,0.42,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-04,60.43,33.00,90.00,0.94,65.31,51.70,78.91,0.42,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-05,71.00,47.75,92.38,0.63,74.34,63.92,84.74,0.28,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-06,72.63,49.25,92.75,0.60,82.01,71.68,92.33,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-07,70.38,46.13,91.88,0.65,83.89,73.51,94.29,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-08,71.50,47.00,91.50,0.62,84.18,74.26,94.09,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-09,63.13,35.00,90.63,0.88,77.84,64.48,91.19,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-10,60.13,29.25,90.50,1.02,65.20,49.72,80.68,0.47,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-11,72.50,46.25,93.38,0.65,55.76,43.07,68.44,0.46,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2010-12,63.75,40.63,86.50,0.72,41.38,30.82,51.93,0.51,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-01,69.38,45.75,90.88,0.65,41.34,31.17,51.54,0.49,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-02,67.00,43.63,90.63,0.70,50.38,38.23,62.53,0.48,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-03,69.63,46.75,91.75,0.65,58.07,47.10,69.08,0.38,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-04,67.25,43.00,92.13,0.73,66.83,54.58,79.07,0.37,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-05,68.00,43.25,92.63,0.73,71.37,59.06,83.66,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-06,66.13,40.25,91.25,0.77,82.44,70.07,94.83,0.30,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-07,75.13,51.13,93.50,0.56,82.96,73.32,92.58,0.23,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-08,66.63,41.13,90.88,0.75,83.11,71.21,95.01,0.29,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-09,72.50,47.88,92.63,0.62,72.84,62.10,83.59,0.29,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-10,66.38,38.13,91.50,0.80,61.64,48.19,75.07,0.44,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-11,70.25,47.75,91.00,0.62,56.31,44.94,67.71,0.40,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2011-12,74.75,51.88,92.88,0.55,50.43,39.78,61.11,0.42,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-01,68.25,45.38,89.63,0.65,50.89,39.32,62.50,0.46,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-02,68.25,46.00,90.00,0.64,52.96,43.10,62.82,0.37,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-03,65.00,40.88,88.63,0.73,65.50,54.23,76.78,0.34,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-04,65.50,40.88,90.25,0.75,66.41,54.36,78.47,0.36,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-05,68.50,43.00,92.00,0.72,74.76,63.32,86.19,0.31,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-06,63.88,40.88,88.38,0.74,78.68,67.24,90.13,0.29,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-07,71.75,47.63,92.25,0.62,83.08,72.78,93.43,0.25,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-08,75.11,52.11,93.78,0.55,79.44,69.98,88.93,0.24,4779736,50645,59.04,1278.50,11.23,,
AL,Alabama,2012-09,73.89,49.33,93.33,0.60,73.97,63.31,84.66,0.29,4779736,50645,59.04,1278.50,11.23,,
