REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,IS_IMPUTED
States,Alabama,2010,40,249,35,11664,False
States,Alaska,2010,40,15,7,1714,False
States,Arizona,2010,40,172,49,25492,False
States,Arkansas,2010,40,18,15,2586,False
States,California,2010,40,632,112,32342,False
States,Colorado,2010,40,134,14,20282,False
States,Connecticut,2010,40,3,12,3831,False
States,Delaware,2010,40,4,13,3995,False
States,District of Columbia,2010,40,73,4,2599,False
States,Florida,2010,40,225,105,31989,False
States,Georgia,2010,40,647,62,40314,False
States,Hawaii,2010,40,20,18,1943,False
States,Idaho,2010,40,19,12,4579,False
States,Illinois,2010,40,505,74,39390,False
States,Indiana,2010,40,65,44,12525,False
States,Iowa,2010,40,10,6,1776,False
States,Kansas,2010,40,39,40,8819,False
States,Kentucky,2010,40,19,14,13293,False
States,Louisiana,2010,40,391,41,17141,False
States,Maine,2010,40,22,30,6150,False
States,Maryland,2010,40,117,17,8869,False
States,Massachusetts,2010,40,168,56,27786,False
States,Michigan,2010,40,98,47,14587,False
States,Minnesota,2010,40,38,17,6611,False
States,Mississippi,2010,40,491,42,16874,False
States,Missouri,2010,40,106,33,9621,False
States,Montana,2010,40,1,7,2694,False
States,Nebraska,2010,40,61,13,2773,False
States,Nevada,2010,40,175,30,10499,False
States,New Hampshire,2010,40,3,21,3951,False
States,New Jersey,2010,40,163,23,7040,False
States,New Mexico,2010,40,160,23,7505,False
States,New York,2010,40,37,91,14069,False
States,North Carolina,2010,40,134,74,25215,False
States,North Dakota,2010,40,42,19,6256,False
States,Ohio,2010,40,29,36,12705,False
States,Oklahoma,2010,40,19,17,3044,False
States,Oregon,2010,40,37,20,6711,False
States,Pennsylvania,2010,40,122,64,17347,False
States,Rhode Island,2010,40,15,21,6382,False
States,South Carolina,2010,40,33,25,7397,False
States,South Dakota,2010,40,63,18,5713,False
States,Tennessee,2010,40,32,52,11651,False
States,Texas,2010,40,1050,98,50844,False
States,Utah,2010,40,43,13,5751,False
States,Vermont,2010,40,41,10,2777,False
States,Virginia,2010,40,660,81,57721,False
States,Washington,2010,40,16,17,3137,False
States,West Virginia,2010,40,143,34,8952,False
States,Wisconsin,2010,40,23,44,4946,False
States,Wyoming,2010,40,32,28,5056,False
States,New York City,2010,40,1059,40,89577,False
States,Alabama,2010,41,239,31,11602,False
States,Alaska,2010,41,19,7,1684,False
States,Arizona,2010,41,183,49,24402,False
States,Arkansas,2010,41,18,14,2670,False
States,California,2010,41,742,122,34469,False
States,Colorado,2010,41,115,12,18294,False
States,Connecticut,2010,41,9,15,3780,False
States,Delaware,2010,41,15,13,4070,False
States,District of Columbia,2010,41,81,4,2802,False
States,Florida,2010,41,267,107,30668,False
States,Georgia,2010,41,702,63,40979,False
States,Hawaii,2010,41,32,19,1826,False
States,Idaho,2010,41,68,12,4664,False
States,Illinois,2010,41,600,76,41354,False
States,Indiana,2010,41,84,45,12861,False
States,Iowa,2010,41,20,7,2323,False
States,Kansas,2010,41,49,40,8485,False
