state,season_label,season_end_year,race_eth,vax_coverage,wili_mean,wili_peak,wili_peak_week,spend_metric_1,poverty_pct
AK,2013-14,2014,Overall,35.3,1.2636520606060606,5.30883,201352.0,6523.5,10.1
AK,2013-14,2014,Non-Hispanic White,33.6,1.2636520606060606,5.30883,201352.0,6523.5,10.1
AK,2013-14,2014,Non-Hispanic Black,50.7,1.2636520606060606,5.30883,201352.0,6523.5,10.1
AK,2013-14,2014,Hispanic,32.8,1.2636520606060606,5.30883,201352.0,6523.5,10.1
AK,2013-14,2014,Non-Hispanic Asian,,1.2636520606060606,5.30883,201352.0,6523.5,10.1
AK,2014-15,2015,Overall,38.0,1.1601050588235293,3.14843,201446.0,6758.31,10.2
AK,2014-15,2015,Non-Hispanic White,38.8,1.1601050588235293,3.14843,201446.0,6758.31,10.2
AK,2014-15,2015,Non-Hispanic Black,43.9,1.1601050588235293,3.14843,201446.0,6758.31,10.2
AK,2014-15,2015,Hispanic,36.0,1.1601050588235293,3.14843,201446.0,6758.31,10.2
AK,2014-15,2015,Non-Hispanic Asian,,1.1601050588235293,3.14843,201446.0,6758.31,10.2
AK,2015-16,2016,Overall,33.8,1.6878777575757578,5.73435,201611.0,6846.57,10.1
AK,2015-16,2016,Non-Hispanic White,34.9,1.6878777575757578,5.73435,201611.0,6846.57,10.1
AK,2015-16,2016,Non-Hispanic Black,29.8,1.6878777575757578,5.73435,201611.0,6846.57,10.1
AK,2015-16,2016,Hispanic,33.7,1.6878777575757578,5.73435,201611.0,6846.57,10.1
AK,2015-16,2016,Non-Hispanic Asian,,1.6878777575757578,5.73435,201611.0,6846.57,10.1
AK,2016-17,2017,Overall,33.2,1.9675221212121212,4.30168,201713.0,7056.99,10.2
AK,2016-17,2017,Non-Hispanic White,32.7,1.9675221212121212,4.30168,201713.0,7056.99,10.2
AK,2016-17,2017,Non-Hispanic Black,46.2,1.9675221212121212,4.30168,201713.0,7056.99,10.2
AK,2016-17,2017,Hispanic,32.3,1.9675221212121212,4.30168,201713.0,7056.99,10.2
AK,2016-17,2017,Non-Hispanic Asian,,1.9675221212121212,4.30168,201713.0,7056.99,10.2
AK,2017-18,2018,Overall,32.8,4.619318787878788,7.6104,201810.0,7489.72,10.8
AK,2017-18,2018,Non-Hispanic White,32.9,4.619318787878788,7.6104,201810.0,7489.72,10.8
AK,2017-18,2018,Non-Hispanic Black,37.5,4.619318787878788,7.6104,201810.0,7489.72,10.8
AK,2017-18,2018,Hispanic,31.3,4.619318787878788,7.6104,201810.0,7489.72,10.8
AK,2017-18,2018,Non-Hispanic Asian,,4.619318787878788,7.6104,201810.0,7489.72,10.8
AK,2018-19,2019,Overall,35.7,3.7689154242424245,9.7181,201906.0,7643.03,10.7
AK,2018-19,2019,Non-Hispanic White,37.6,3.7689154242424245,9.7181,201906.0,7643.03,10.7
AK,2018-19,2019,Non-Hispanic Black,37.8,3.7689154242424245,9.7181,201906.0,7643.03,10.7
AK,2018-19,2019,Hispanic,31.5,3.7689154242424245,9.7181,201906.0,7643.03,10.7
AK,2018-19,2019,Non-Hispanic Asian,,3.7689154242424245,9.7181,201906.0,7643.03,10.7
AK,2019-20,2020,Overall,39.4,3.238185393939394,11.7221,201952.0,7109.39,10.3
AK,2019-20,2020,Non-Hispanic White,40.2,3.238185393939394,11.7221,201952.0,7109.39,10.3
AK,2019-20,2020,Non-Hispanic Black,42.6,3.238185393939394,11.7221,201952.0,7109.39,10.3
AK,2019-20,2020,Hispanic,41.2,3.238185393939394,11.7221,201952.0,7109.39,10.3
AK,2019-20,2020,Non-Hispanic Asian,,3.238185393939394,11.7221,201952.0,7109.39,10.3
AK,2020-21,2021,Overall,37.3,0.6939411764705883,1.76528,202040.0,8112.5,10.4
AK,2020-21,2021,Non-Hispanic White,40.2,0.6939411764705883,1.76528,202040.0,8112.5,10.4
AK,2020-21,2021,Non-Hispanic Black,37.5,0.6939411764705883,1.76528,202040.0,8112.5,10.4
AK,2020-21,2021,Hispanic,34.7,0.6939411764705883,1.76528,202040.0,8112.5,10.4
AK,2020-21,2021,Non-Hispanic Asian,,0.6939411764705883,1.76528,202040.0,8112.5,10.4
AK,2021-22,2022,Overall,38.8,1.7073317575757576,5.86915,202151.0,8390.88,10.5
AK,2021-22,2022,Non-Hispanic White,42.0,1.7073317575757576,5.86915,202151.0,8390.88,10.5
AK,2021-22,2022,Non-Hispanic Black,29.2,1.7073317575757576,5.86915,202151.0,8390.88,10.5
